home_score,away_score,empate,dif_gol,local,visitante,num_continente_local,num_continente_visitante,num_continente_anfitrion
3,0,False,3,26,8,2,1,2
0,1,False,-1,26,60,2,4,3
8,0,False,8,28,58,2,3,3
1,1,True,0,56,10,2,4,3
1,2,False,-1,77,19,1,2,3
1,0,False,1,2,46,1,4,3
1,1,True,0,25,67,2,2,3
2,2,True,0,51,64,1,4,3
3,1,False,2,67,63,2,2,3
2,1,False,1,8,72,1,3,3
0,1,False,-1,16,42,2,1,3
2,0,False,2,38,21,2,1,3
0,2,False,-2,13,15,3,1,3
2,2,True,0,41,5,3,2,3
2,0,False,2,66,53,3,2,3
1,1,True,0,28,55,2,2,3
2,0,False,2,58,71,2,4,3
3,2,False,1,76,54,1,2,3
1,0,False,1,10,58,4,3,3
1,1,True,0,20,60,2,4,3
0,0,True,0,26,76,2,1,3
0,1,False,-1,2,24,1,2,3
3,1,False,2,67,51,2,1,3
2,1,False,1,68,46,2,4,3
4,0,False,4,8,13,1,3,3
1,2,False,-1,38,16,2,2,3
1,0,False,1,65,63,4,2,3
1,1,True,0,15,72,1,3,3
1,0,False,1,41,57,3,2,3
2,1,False,1,42,21,1,1,3
1,1,True,0,66,75,3,1,3
4,0,False,4,54,53,2,2,3
1,1,True,0,72,5,4,2,3
0,2,False,-2,10,27,4,2,3
2,0,False,2,20,25,2,2,3
0,3,False,-3,59,55,3,2,3
3,3,True,0,61,76,4,1,3
0,0,True,0,46,24,4,2,3
1,3,False,-2,64,51,2,1,3
2,3,False,-1,65,66,4,2,3
1,1,True,0,68,2,2,1,3
2,5,False,-3,15,8,1,1,3
1,0,False,1,22,16,1,2,3
1,1,True,0,42,37,1,2,3
3,0,False,3,73,13,3,3,3
3,2,False,1,5,57,2,2,3
2,0,False,2,41,71,3,4,3
1,0,False,1,66,54,3,2,3
3,1,False,2,53,75,2,1,3
0,3,False,-3,20,24,2,2,3
1,0,False,1,28,51,2,1,3
1,1,True,0,67,55,2,2,3
1,2,False,-1,68,60,2,4,3
2,0,False,2,8,5,1,2,3
0,2,False,-2,42,75,1,1,3
0,1,False,-1,41,72,3,3,3
2,1,False,1,66,37,3,2,3
1,2,False,-1,25,8,2,1,3
1,0,False,1,28,75,2,1,3
0,0,True,0,66,66,3,2,3
0,1,False,-1,61,72,4,3,3
0,1,False,-1,66,27,3,2,3
1,0,False,1,8,72,1,3,3
2,3,False,-1,66,72,3,3,3
0,2,False,-2,28,8,2,1,3
4,2,False,2,28,15,2,1,2
0,2,False,-2,53,21,2,1,2
2,1,False,1,2,38,1,4,2
1,0,False,1,25,51,2,1,2
0,0,True,0,71,67,1,2,2
0,1,False,-1,1,54,4,2,2
3,1,False,2,42,35,1,3,2
0,1,False,-1,62,44,2,2,2
3,1,False,2,3,40,5,3,2
2,0,False,2,38,28,2,4,2
0,3,False,-3,76,17,1,2,2
1,0,False,1,8,16,1,2,2
0,0,True,0,26,68,2,2,2
2,1,False,1,66,69,3,4,2
1,0,False,1,28,53,2,2,2
4,0,False,4,67,73,2,2,2
2,2,True,0,72,58,4,3,2
3,0,False,3,22,15,1,1,2
2,0,False,2,25,70,2,1,2
1,0,False,1,68,51,2,1,2
6,0,False,6,2,61,1,2,2
0,0,True,0,42,1,1,4,2
2,1,False,1,44,38,2,4,2
0,2,False,-2,18,28,2,4,2
1,1,True,0,38,75,2,1,2
2,0,False,2,54,35,2,3,2
2,0,False,2,8,3,1,5,2
1,1,True,0,26,65,2,3,2
0,0,True,0,41,16,3,2,2
0,4,False,-4,59,73,3,2,2
3,1,False,2,67,71,2,4,2
0,2,False,-2,70,68,4,2,2
1,2,False,-1,15,53,1,2,2
3,0,False,3,28,21,2,1,2
2,0,False,2,51,70,1,1,2
2,2,True,0,68,24,2,2,2
1,1,True,0,35,1,3,4,2
3,2,False,1,39,61,4,2,2
0,0,True,0,44,2,2,1,2
2,1,False,1,54,42,2,1,2
2,2,True,0,16,3,2,5,2
0,2,False,-2,18,37,2,2,2
2,1,False,1,29,75,4,1,2
1,4,False,-3,41,8,3,1,2
0,1,False,-1,59,66,3,2,2
2,0,False,2,69,65,2,3,2
0,2,False,-2,70,25,4,2,2
1,0,False,1,74,71,2,4,2
2,1,False,1,2,42,1,1,2
2,0,False,2,28,67,2,2,2
1,0,False,1,25,21,2,1,2
1,0,False,1,54,44,2,2,2
1,0,False,1,38,3,2,5,2
0,0,True,0,69,73,2,2,2
3,0,False,3,8,28,1,4,2
1,3,False,-2,67,25,2,2,2
1,1,True,0,28,2,2,1,2
3,0,False,3,38,73,2,2,2
0,1,False,-1,8,25,1,2,2
0,0,True,0,25,54,2,2,2
0,2,False,-2,28,37,2,2,2
0,1,False,-1,54,25,2,2,2
3,1,False,2,28,54,2,2,2
1,1,True,0,38,25,2,2,2
1,1,True,0,65,42,4,1,4
0,0,True,0,77,25,1,2,4
1,0,False,1,2,46,1,4,4
1,1,True,0,25,75,2,1,4
2,0,False,2,66,29,3,2,4
0,1,False,-1,0,63,4,2,4
4,0,False,4,28,3,2,5,4
0,1,False,-1,62,28,2,4,4
1,1,True,0,38,51,2,1,4
1,0,False,1,41,10,3,4,4
2,0,False,2,44,19,2,2,4
2,1,False,1,8,47,1,3,4
0,0,True,0,39,54,4,2,4
1,1,True,0,45,62,5,2,4
0,1,False,-1,32,12,1,1,4
0,3,False,-3,65,76,4,1,4
0,1,False,-1,67,68,2,2,4
4,1,False,3,2,65,1,3,4
0,2,False,-2,26,42,2,1,4
2,1,False,1,30,46,2,4,4
0,0,True,0,25,0,2,4,4
0,1,False,-1,28,61,2,2,4
2,2,True,0,64,75,2,1,4
1,2,False,-1,10,19,4,2,4
1,1,True,0,29,3,4,5,4
1,0,False,1,44,40,2,3,4
3,1,False,2,8,38,1,4,4
1,1,True,0,38,45,2,5,4
0,2,False,-2,63,51,2,1,4
1,0,False,1,12,68,1,2,4
7,0,False,7,54,47,2,3,4
2,0,False,2,67,31,2,1,4
0,2,False,-2,30,2,2,1,4
0,1,False,-1,42,76,1,1,4
2,2,True,0,46,65,4,3,4
2,1,False,1,65,25,4,2,4
2,1,False,1,3,61,5,2,4
0,1,False,-1,29,27,4,2,4
0,1,False,-1,64,24,2,2,4
1,0,False,1,76,0,1,4,4
